0,1
1,0
0,2
1,2
2,0
2,1
0,469
1,469
469,0
469,1
0,6
1,6
6,1
6,0
0,5
1,5
6,5
5,6
5,0
5,1
0,385
1,385
385,1
385,0
0,384
1,384
385,384
384,385
384,0
384,1
0,386
1,386
385,386
386,385
386,0
386,1
2,469
469,2
0,3
2,3
3,2
3,0
0,4
2,4
3,4
4,3
4,0
4,2
0,419
2,419
3,419
419,3
419,0
419,2
0,422
2,422
3,422
422,0
422,3
422,2
0,380
469,380
380,469
380,0
0,183
469,183
380,183
183,469
183,380
183,0
0,379
469,379
380,379
379,380
379,0
379,469
0,37415
469,37415
37415,469
37415,0
469,422
37415,422
422,37415
422,469
